epoch,global_step,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_s,elapsed_time_s,allocated_memory_mb,peak_memory_mb
1,352,0.1,1.8695551605648464,0.32582222222222224,1.5472499368667603,0.4212,37.03895970800659,37.0389812499925,193.814208984375,
2,704,0.09999383162408304,1.241429624387953,0.5449111111111111,1.2204103789329528,0.5752,37.199191375024384,74.42777266699704,193.814208984375,
3,1056,0.09997532801828658,0.8972668420579698,0.6798888888888889,0.8925270764827729,0.6888,37.269479000009596,111.89622387499548,193.814208984375,
4,1408,0.09994449374809851,0.6917492317199707,0.7561111111111111,0.827956214261055,0.7142,37.6753843339975,149.76329712499864,193.814208984375,
5,1760,0.09990133642141359,0.5480661342302958,0.8103333333333333,0.7415808660984039,0.7372,37.62783716598642,187.5961943329894,193.814208984375,
6,2112,0.09984586668665642,0.465342545249727,0.8371333333333333,0.806839554977417,0.7346,38.63326900001266,226.41780699999072,193.814208984375,
7,2464,0.09977809823015402,0.39697192414601645,0.8641777777777778,0.8483189009189606,0.7282,41.113455792015884,267.65712874999736,193.814208984375,
8,2816,0.09969804777275901,0.3473415481620365,0.8780222222222223,0.7421522418498993,0.764,41.299597000004724,309.0778698329814,193.814208984375,
9,3168,0.09960573506572391,0.3131886002222697,0.8908222222222222,0.6475035801053047,0.793,41.593579082982615,350.864669957984,193.814208984375,
10,3520,0.09950118288582789,0.28437942758666146,0.8994888888888889,0.6888545937776566,0.7818,40.86065837502247,391.917498291994,193.814208984375,
11,3872,0.09938441702975691,0.2641630145178901,0.9072,0.74984773260355,0.7694,40.23666804199456,432.27526812499855,193.814208984375,
12,4224,0.09925546630773871,0.2477245168103112,0.9151555555555556,0.7778291217565536,0.7724,41.08644074999029,473.4854398329917,193.814208984375,
13,4576,0.09911436253643445,0.22766020115216573,0.9200888888888888,0.6907779182434082,0.7912,41.48789483300061,515.0923237499956,193.814208984375,
14,4928,0.0989611405310883,0.20804822045962015,0.9276666666666666,0.6875774489283561,0.794,41.3514437089907,556.5618519999844,193.814208984375,
15,5280,0.09879583809693739,0.20664486753940584,0.9274888888888889,0.7869971646308899,0.7786,41.387068540992914,598.1295612919785,193.814208984375,
16,5632,0.09861849601988384,0.20781617917484707,0.9288222222222222,0.7111598012208938,0.7848,41.51488004199928,639.7624745829962,193.814208984375,
17,5984,0.09842915805643157,0.18612523453235627,0.9362444444444444,0.8617338330924511,0.7584,41.64281866699457,681.5233033330005,193.814208984375,
18,6336,0.09822787092288993,0.19231252541012234,0.9341555555555555,0.7421895575523376,0.7884,41.92201729101362,723.5673874169879,193.814208984375,
19,6688,0.09801468428384717,0.1761575600412157,0.9391111111111111,0.7860900759518147,0.772,42.548756958014565,766.2337287499977,193.814208984375,
20,7040,0.09778965073991652,0.1892502293613222,0.9340888888888889,0.7509007811784745,0.7852,42.61095924998517,808.9667254999804,193.814208984375,
21,7392,0.0975528258147577,0.17449823347992366,0.9412,0.6916579229831695,0.792,42.356926791981095,851.4439945420017,193.814208984375,
22,7744,0.09730426794137728,0.1778392753071255,0.9391555555555555,0.718464139232412,0.7962,42.214180500013754,893.7804422499903,193.814208984375,
23,8096,0.09704403844771128,0.16406043649514515,0.9444222222222223,0.7336560633897782,0.7774,42.136149750003824,936.0999175419856,193.814208984375,
24,8448,0.09677220154149338,0.17723786639902328,0.9390888888888889,0.6173072571158409,0.8106,42.13403737498447,978.3551639999787,193.814208984375,
25,8800,0.09648882429441258,0.16149679299460518,0.9443777777777778,0.7788490034013986,0.777,42.299146542005474,1020.8361681249808,193.814208984375,
26,9152,0.09619397662556435,0.15850530234972635,0.9450222222222222,0.7974126087188721,0.7782,42.31677779200254,1063.2719830829883,193.814208984375,
27,9504,0.09588773128419906,0.16425344509813522,0.9442888888888888,0.7646401971161365,0.7766,42.0587547920004,1105.44961112499,193.814208984375,
28,9856,0.09557016383177226,0.15660200645128886,0.9469111111111111,0.7688694749355316,0.778,41.61651445800089,1147.1846788749972,193.814208984375,
29,10208,0.09524135262330098,0.1626458060370551,0.9447777777777778,1.0472175660848617,0.7138,42.13135066701216,1189.439864749991,193.814208984375,
30,10560,0.09490137878803079,0.1639570064862569,0.9432888888888888,0.6104163154281675,0.8164,41.72620558299241,1231.291327916988,193.814208984375,
31,10912,0.0945503262094184,0.14327747421794468,0.9517111111111111,0.7751153377354145,0.7852,41.80677125000511,1273.2845179169963,193.814208984375,
32,11264,0.0941882815044347,0.15165581819083956,0.9480666666666666,0.6905256134033203,0.79,42.835298708989285,1316.252583249996,193.814208984375,
33,11616,0.09381533400219319,0.14387956280708314,0.9512888888888889,0.7753969985485077,0.7848,44.69988495801226,1361.0906944999879,193.814208984375,
34,11968,0.09343157572190958,0.14901948218610553,0.9493111111111111,0.8482974707603455,0.7614,45.197020749998046,1406.4194450419745,193.814208984375,
35,12320,0.0930371013501972,0.15045656378004285,0.9486222222222223,0.6850698230743408,0.8066,44.16874033299973,1450.7111575829913,193.814208984375,
36,12672,0.09263200821770463,0.14510173049237993,0.9510888888888889,1.2765318649768829,0.7016,44.86013412498869,1495.691659916978,193.814208984375,
37,13024,0.09221639627510078,0.14309999905162388,0.9522888888888889,0.8541450113654137,0.7608,45.196459208003944,1541.011360082979,193.814208984375,
38,13376,0.09179036806841355,0.1513013838953442,0.9487777777777778,0.7125785084247589,0.7926,42.046850583021296,1583.188619166991,193.814208984375,
39,13728,0.09135402871372812,0.1352723015917672,0.9546444444444444,0.7178204568266868,0.7924,42.911376000003656,1626.2205800419906,193.814208984375,
40,14080,0.0909074858712512,0.1336177729182773,0.9545111111111111,0.8492387222710996,0.7762,42.10842595799477,1668.4585928329907,193.814208984375,
41,14432,0.09045084971874741,0.1482922448900011,0.9486666666666667,0.9894222295761108,0.7468,44.176911249989644,1712.7555819169793,193.814208984375,
